,method,MSE,MAE,MR,adj R-squared
0,LinearRegression,3.781065662658539e+19,4772386889.332389,3978776597.702141,-3.860342883592837e+19
1,RandomForest,0.18057862452639123,0.32602794661925405,-0.010638292045350555,0.8156767440518464
2,XGBoost,0.17215523472251226,0.31906547589281825,-0.004570791929172627,0.8242748084066036
3,LightGBM,0.17199975744494367,0.3196192501732235,-0.0016806286139428742,0.8244335097927868
4,HybridModel,0.16744757232164775,0.3144955310542844,-0.004628235985929934,0.829080092885361
5,Stacking,0.1688475532584881,0.31652221405477193,-0.00839154999196257,0.8299122740494185
